FZRZGH	FZRXM	XMMC
0006132043	郭振泉	体外抗肿瘤细胞活性筛选测试服务
0006132043	郭振泉	体外抗肿瘤细胞活性筛选
0006132043	郭振泉	苦丁茶深加工开发研究协议
0006132043	郭振泉	体外抗肿瘤细胞活性筛选测试服务
0006132043	郭振泉	吗啡、甲基安非他明、氯胺酮三合一唾液检测试剂盒
0006132043	郭振泉	体外抗肿瘤细胞活性筛选测试服务
0006132043	郭振泉	分子马达传感器检测常见毒品的关键技术与装
0006132043	郭振泉	体外抗肿瘤细胞活性筛选测试服务
0006132069	陈静生	包头东航“”11.21“空难生态环境影响咨询
0006132073	杨芙清	基于构件的电子政务领域应用框架研究
0006132073	杨芙清	软件产业软科学咨询
0006132073	杨芙清	基于Internet、以构件库为核心的软件开发平台
0006132078	唐孝炎	珠海市建设生态文明示范市制度研究
0006132078	唐孝炎	中日据点大学合作项目
0006132078	唐孝炎	我国城市化进程中的可持续发展战略研究
0006132078	唐孝炎	暴雨径流沸石再生技术与示范工程
0006132078	唐孝炎	北京市大气环境二次污染控制研究
0006132078	唐孝炎	全面研究亚热带至温带的气溶胶（香港联合）
0006132078	唐孝炎	全面研究亚热带至温带的气溶胶（香港联合）
0006132078	唐孝炎	我国城市化进程中的可持续发展战略研究
0006132078	唐孝炎	流域社会经济结构调整及水污染综合防治中长期规划研究-唐孝炎协作
0006132078	唐孝炎	大气氮磷沉降对湖泊富营养化的影响与控制策略研究
0006132078	唐孝炎	中原经济区大气细颗粒物来源及控制研究
0006132078	唐孝炎	北京市大气污染控制研究
0006132078	唐孝炎	灰霾天气的影响、成因及防治对策
0006132078	唐孝炎	城市化进程中生态建设和环境保护若干重大问题研究
0006132078	唐孝炎	北京市大气环境二次污染控制对策研究(第三次拨款）
0006132078	唐孝炎	北京市空气质量与气象条件的关系研究
0006132078	唐孝炎	北京市大气环境二次污染控制对策研究(第二次拨款）
0006132078	唐孝炎	无锡市大气污染防治规划
0006132078	唐孝炎	中国特色城镇化道路发展战略研究
0006132078	唐孝炎	低污染水河道易位脱氮除磷强化处理技术研究与工程示范-唐孝炎协作
0006132078	唐孝炎	大气中细颗粒和超细颗粒的环境行为、界面过程及健康效应
0006132078	唐孝炎	珠江三角洲区域大气复合污染的立体监测网络-唐孝炎协作
0006132078	唐孝炎	郑州市大气颗粒物PM10、PM2.5源解析研究项目
0006132078	唐孝炎	典型地区大气酸化机理研究（后三年）-唐孝炎协作
0006132078	唐孝炎	以准确、生动的方式科学传播基金委重大研究计划大气复合污染的最新研究成果
0006132079	王文清	生命分子手性起源
0006132079	王文清	生命分子手性起源
0006132098	马克垚	马工程教材编写-马克垚协作
0006132098	马克垚	古代专制制度考察
0006132098	马克垚	教育部社科委员会历史学部本年度会议
0006132108	陈良焜	中国高等职业教育的经济与非经济收益研究
0006132122	李景鹏	中国公民社会组织结构及其政治影响
0006132122	李景鹏	中国红十字基金会5.12灾后重建项目
0006132122	李景鹏	公民社会组织政治参与比较研究
0006133021	张榕森	北京大学化学系、安徽省阜南县纺织品公司联合建立奥尔滋日用化学厂（暂名）的合同书
0006133024	蔡生民	国际合作化学前沿领域咨询
0006133024	蔡生民	新型固态纳米晶膜太阳能电池的研制及机理研究
0006133027	黄春辉	卷对卷柔性衬底铜铟镓硒电池组件示范生产线及成套工艺技术研发-黄春辉协作
0006133027	黄春辉	稀土分子固体及杂化材料的光电功能性质研究
0006133027	黄春辉	稀土光电功能薄膜材料的研究
0006133027	黄春辉	铕配合物电致发光的研究
0006133027	黄春辉	邹德春H863-17|黄春辉协作
0006133027	黄春辉	高效低成本太阳能电池的研究
0006133027	黄春辉	晶态薄膜材料及其全固态杂化太阳能电池的研究
0006133027	黄春辉	国家实验室运行费-黄春辉协作
0006133038	冯义濂	核磁共振测井仪关键技术升级改造
0006133038	冯义濂	核磁共振测井仪改造升级技术开发
0006133078	王仁民	硅质岩、大理岩的研究（山东科技大学负责）
0006133078	王仁民	冀西北太古宙富Nb玄武岩岩石组合(尚义杂岩)的构造环境研究
0006133078	王仁民	冀西北前寒武纪赞岐岩类岩石的识别及其成因和构造控制研究
0006133082	崔之久	青藏高原东缘山地冰川的气候与构造耦合关系研究（辽宁师范大学负责）
0006133082	崔之久	青藏高原东缘山地冰川的气候与构造耦合关系研究
0006133082	崔之久	云南拱王山与台湾高山末次冰期冰川与季风演化特征
0006133082	崔之久	青藏高原第四纪冰期旋回与构造隆升耦合机制及过程研究
0006133082	崔之久	阿尔泰山第四纪冰川作用及古环境研究协议书
0006133084	陈凯	湛山宾馆改造（万邦中心）风洞模拟实验
0006133102	黄福华	BDL型恒温双向换气机
0006133102	黄福华	大型恒温双向换气机
0006133102	黄福华	BDL-2型恒温双向换气机
0006133102	黄福华	恒温净化换气机（多功能空调换气扇）
0006133103	吴江航	重大基金专题：大型复杂结构体系（张伯寅负责课题
0006133231	傅世侠	科技团体创造力评估模型研究
0006134004	杨应昌	购买除湿机
0006134004	杨应昌	专利代理委托合同
0006134004	杨应昌	间隙型稀土-过渡族金属间化合物磁各向异性的调控及新型高频磁性材料研究|杨应昌协作
0006134004	杨应昌	新型稀土永磁材料
0006134004	杨应昌	新型稀土永磁材料
0006134004	杨应昌	专利独占实施许可合同
0006134004	杨应昌	合作协议
0006134004	杨应昌	磁性材料的中子散射研究
0006134004	杨应昌	购买恒温恒湿试验箱
0006134004	杨应昌	衫铁氮磁粉和磁体的产业化核心技术开发研究
0006134008	秦国刚	九州太阳能光伏储能院士工作站
0006134008	秦国刚	院士工作站合作建站协议
0006134008	秦国刚	硅/化合物半导体混合激光器及片上集成
0006134008	秦国刚	“硅基”在有机半导体发光和激光中的优势、特色和潜力
0006134008	秦国刚	秦国刚老师第三世界科学院来款
0006134008	秦国刚	硅基电致发光和激光（光电信息功能材料）
0006134008	秦国刚	室温辐照吸杂研究和应用于提高硅太阳电池效率的探索
0006134008	秦国刚	等离子体处理与高能电子辐照相结合激励Si和GaAs中杂质原子室温扩散
0006134008	秦国刚	以石墨烯为透明导电阳极的有机电致发光基础研究
0006134008	秦国刚	源自纳米半导体的高效率硅基电致发光
0006134008	秦国刚	纳米化合物半导体/硅异质结构发光材料及原型器件
0006134008	秦国刚	GaN中氢、碳和氧的行为和作用
0006134008	秦国刚	硅基掺稀土离子的纳米硅/氧代硅体系发光
0006134024	高崇寿	现代物理若干重大前沿课题研究-高崇寿协作
0006134024	高崇寿	物理真空唯象学理论研究和新物态.新粒子的探讨
0006134033	谢有畅	纳米复合氧化物物相变化特点研究
0006134033	谢有畅	微机采购
0006134033	谢有畅	NaY铵交换新工艺研究
0006134033	谢有畅	云南省工业废气净化及一碳化工研究开发中心
0006134033	谢有畅	北京市教委共建项目-纳米氧化锆发大制备
0006134034	郭海	《回春宝》（暂名）口服液
0006134035	吴瑾光	稀土／高分子杂化光致及电致发光材料研究
0006134035	吴瑾光	肿瘤快速无创检测诊断仪工业样机开发
0006134035	吴瑾光	稀土化合物改性氨纶纤维及其制备方法
0006134035	吴瑾光	肿瘤的光谱诊断新方法研究
0006134035	吴瑾光	红外线检测
0006134035	吴瑾光	无创血糖测量仪及肿瘤快速诊断仪开发
0006134040	杨永年	TA-1催化剂活性组分调剂
0006134046	王长清	武器装备预研基金
0006134046	王长清	薄层深探测电磁脉冲测井模拟软件研究
0006134075	朱圣庚	重组水蛭素中试（16升）技术
0006134075	朱圣庚	水蛭素突变体HV2-Lys47生产菌株及中试技术
0006134075		舒鸿钧98
0006134075	朱圣庚	水蛭素突变体HV2-Lys47的生产方法及其专用表达载体与菌株
0006134079	何国琦	古亚洲构造域及其演化
0006134083	崔文元	缅甸密支那西部超高压变质带的变质作用及其演化
0006134083	崔文元	超高压新岩石类型在铝榴辉岩的发现及其成因地研究
0006134090	谢凝高	云南大理申报世界自然遗产和文化遗产
0006134090	谢凝高	楠溪江风景名胜区总体规划修编
0006134090	谢凝高	永康方岩风景名胜区总体规划修编
0006134090	谢凝高	温州市泽雅水碓坑村保护规划协议
0006134090	谢凝高	城市化进程中丹霞地貌保护研究
0006134099	陈佳洱	激光加速获得准单能质子束的探索研究
0006134099	陈佳洱	分离作用RFQ加速系统的研究
0006134099	陈佳洱	激光加速获得准单能质子的理论和实验研究
0006134099	陈佳洱	2012学术月国际交流活动
0006134099	陈佳洱	分离作用射频四极场（RFQ)加速结构的研究
0006134114	武际可	旋转机械系统多自由度非线性动力学数值分析
0006134114	武际可	中国近代和当代力学发展
0006134119	王福堂	《重建汉语方言音韵史的方法及个案研究》
0006134119	王福堂	语言接触和汉语方言的层次
0006134123	孙钦善	古籍整理书报费
0006134124	段宝林	各民族神话与史诗总体研究
0006134132	徐天新	国际冷战中的大国战略关系研究
0006134135	楼宇烈	古籍整理书报费
0006134135	楼宇烈	中国哲学和中国传统书院教育
0006134155	王式仁	实用英语语音教程
0006135003	谢衷洁	时间序列分析的小波方法及应用
0006135003	谢衷洁	时间序列分析的小波方法及其在金融中大的应用
0006135028	张树霖	单分子磁体的合成/组装与分子自旋态的调控-张树霖协作
0006135028	张树霖	中材人口晶体研究院面上基金协作项目
0006135028	张树霖	国家重点实验室开放课题
0006135028	张树霖	2004年重点协作项目
0006135028	张树霖	纳米半导体声子拉曼谱显现或不显现尺寸限制效应的现象及其机理研究(浙江大学)
0006135028	张树霖	南京大学基金项目（60390073）
0006135035	林炳雄	钙钛矿型稀土复合氮化物燃烧催化剂
0006135035	林炳雄	“稀土一氧化碳助燃剂”工业应用试验
0006135035	林炳雄	专利使用权转让
0006135035	林炳雄	稀土复合氧化物燃烧催化剂
0006135035	林炳雄	钙钛矿型稀土复合氧化物燃烧催化剂
0006135035	林炳雄	FCC助剂催化裂化反应性能评价
0006135035	林炳雄	新型汽柴油后处理催化剂性能的考察
0006135038	曹维孝	基于重氮基高分子的核壳结构、胶体晶体为模板的孔
0006135038	曹维孝	纳米结构功能膜制备及其成像性质研究
0006135051	黎乐民	理论与计算化学发展战略研究
0006135051	黎乐民	理论与计算化学发展战略
0006135051	黎乐民	理论与计算化学学科发展战略研究
0006135051	黎乐民	理论化学的发展趋势与前景展望研讨会
0006135064	吴鑫基	特殊脉冲星的研究（乔国俊负责）
0006135067	陈受钧	重大灾害性天气预报理论研究
0006135067	陈受钧	中国强降水天气数值预报的研究(中国气象科学研究院负责)
0006135067	陈受钧	中尺度数值预报系统的建立和物理过程参数化方案的
0006135067	陈受钧	沙尘扬升、对流层-平流层输送及远距离传输过程中的垂直分布及动力热力结构
0006135074	宋礼庭	磁重联驱动的太阳风起源模型-宋礼庭协作
0006135074	宋礼庭	三维磁重联的粒子模拟及卫星观测对比研究（国家天文台负责）
0006135083	王素云	高低密度脂蛋白胆固醇测试卡
0006135083	王素云	简易高血脂测试盘和测试卡
0006135083	王素云	小麦醇溶蛋白的蛋白分子微胶囊制备方法
0006135089	尤瑞麟	银杏性别分化：早期分化、分子标记及原位杂交
0006135092	吴光耀	人白细胞介素-6 （rhIL-6）
0006135092	吴光耀	人白细胞介素-6的工程菌生产工艺
0006135105	崔海亭	基于《水经注》的华北地区自然景观演变过程重建及其人类影响机理研究-崔海亭协作
0006135105	崔海亭	北京市土地利用总体规划
0006135105	崔海亭	华南过渡热带埋藏古木群 与历史时期气候突变事件
0006135105	崔海亭	过去2000年陕甘宁接壤地区植被生态变化的证据（中科院地理所负责）
0006135113	王阳元	微纳电子科学技术学科战略研究
0006135113	王阳元	微纳电子学科发展战略研究
0006135113	王阳元	微纳电子学科发展战略研究项目
0006135113	王阳元	十五电子预研项目设备费
0006135113	王阳元	建设微电子强国
0006135116	许卓群	海洋环境立体检测应用系统软件
0006135116	许卓群	兵团科技成果推广信息网站建设
0006135116	许卓群	“数据结构与算法”立体化精品课程教材建设
0006135116	许卓群	海量空间信息的语义网络建模及其协同共享研究
0006135124	张启仁	高能正电子在周期弯曲晶体沟道内的...（姚淑德负
0006135133	黄琳	控制科学发展战略
0006135133	黄  琳	电力非线性大系统的稳定性与鲁棒性研究
0006135133	黄琳	高超声速机动飞行的复杂动力学建模与自主控制
0006135133	黄琳	杨剑影下压飞行控制10-黄琳协作
0006135133	黄琳	近空间高超声速飞行器自主协调控制研究
0006135133	黄琳	段志生滑翔飞行控制10-黄琳协作
0006135133	黄琳	杨剑影下压飞行控制10-黄琳协作
0006135133	黄琳	杨剑影下压飞行控制10-黄琳协作
0006135133	黄  琳	不确定多平衡点非线性系统的总体性质及鲁棒控制
0006135133	黄琳	近空间高超声速飞行器自主协调控制研究
0006135133	黄琳	控制科学学科发展战略研究
0006135133	黄  琳	复杂非线形力学系统的控制研究
0006135133	黄琳	控制科学学科发展战略研究
0006135135	王大钧	挠性结构及其控制问题研究（航天总公司502所负责
0006135135	王大钧	动力学虚拟试验仿真技术咨询服务
0006135135	王大钧	动力学虚拟试验仿真技术咨询服务
0006135136	温功碧	颅内动脉瘤弹簧圈栓塞治疗转归的血流动力学研究（北京神经外科研究所负责）
0006135136	温功碧	微弹簧圈栓塞治疗脑动脉瘤血动力学研究
0006135137	张伯寅	北京风林绿洲三期建筑工程风荷载风洞模拟实验研究
0006135137	张伯寅	北京电视中心风洞模拟实验研究
0006135137	张伯寅	济南机场航站楼工程风荷载模拟实验研究
0006135137	张伯寅	西六里屯垃圾填埋场对于永丰产业基地环境影响的评价
0006135137	张伯寅	融科资讯中心C座建筑工程风洞试验
0006135137	张伯寅	天津泰达市民文化广场建筑工程风荷载风洞实验
0006135137	张伯寅	北京轻汽西厂区改造项目建筑工程风荷载风洞实验研究
0006135137	张伯寅	摩根中心建筑工程风场及风荷载风洞模拟实验研究
0006135137	张伯寅	法门寺合十舍利塔建筑工程风荷载风洞模拟实验研究
0006135137	张伯寅	金泉广场项目风环境及“酒店”楼风荷载风洞实验研究
0006135137	张伯寅	呼和浩特白塔机场扩建工程新建航站楼风荷载风洞模拟实验研究
0006135137	张伯寅	烟台广电中心大楼建筑项目风荷载风洞试验研究
0006135137	张伯寅	天津滨海国际机场扩建工程航站
0006135137	张伯寅	黄河口模型实验厅建筑工程风荷载风洞模拟实验研究
0006135137	张伯寅	新建水槽实验装置非标设备研制
0006135137	张伯寅	北辰B5区公共建筑项目风荷载和风洞试验研究
0006135137	张伯寅	融科资讯中心弹性模型研制
0006135137	张伯寅	融科资讯中心C座风洞试验
0006135137	张伯寅	北京西门子（中国）有限公司总部办公楼建筑工程风荷载、风环境风洞模拟实验研究
0006135137	张伯寅	摩根中心建筑工程风环境及风荷载风模拟实验研究
0006135137	张伯寅	销毁工程风险评估水槽模拟试验研究
0006135137	张伯寅	设备买卖合同
0006135137	张伯寅	摩根大楼（A座）层间剪力及扭矩计算研究
0006135137	张伯寅	北辰B5区公共建筑项目数值风洞分析
0006135137	张伯寅	合同
0006135137	张伯寅	合同
0006135137	张伯寅	合同
0006135137	张伯寅	合同
0006135137	张伯寅	实验模型研制
0006135137	张伯寅	试验模型研制设计与加工
0006135137	张伯寅	试验模型研制设计与加工
0006135137	张伯寅	实验模型研制设计与加工
0006135137	张伯寅	北京理工大学体育文化综合馆风荷载实验
0006135137	张伯寅	销毁工程风险评估流场模式计算研究
0006135137	张伯寅	青岛乾豪广场住建筑工程模型风洞实验
0006135137	张伯寅	伊金霍洛旗体育综合馆建筑工程风荷载风洞实验研究
0006135137	张伯寅	合同
0006135137	张伯寅	新建水槽试验装置非标设备加工制造
0006135137	张伯寅	基金委与香港联合资助项目（桑建国负责）
0006135137	张伯寅	中国建筑科学研究院水槽设备建设
0006135137	张伯寅	武汉天河机场航站楼建筑工程风荷载风洞实验研究
0006135137	张伯寅	烟台市贸中心风洞模拟实验
0006135137	张伯寅	东营会展中心风荷载风洞模拟实验
0006135146	费振刚	古籍整理书报费
0006135146	费振刚	重修增补全汉赋
0006135151	梁志明	东南亚古代史
0006135162	陈志尚	马克思主义人学基本理论和重大现实问题研究
0006135162	陈志尚	马克思主义经典著作基本观点研究
0006135162	陈志尚	以人为本与发展中国特色社会主义理论体系研究
0006135168	胡建颖	我国房地产发展的总体态势分析
0006135265	李淑芳	教育信息资源建设的瓶颈与对策
0006135294	梁柱	1997年特别委托项目尾款
0006136001	张恭庆	2005教育部科学事业费"高等数学中心"专项经费
0006136001	张恭庆	非线性分析
0006136001	张恭庆	数学与应用数学资源数据库
0006136001	张恭庆	现代数学的若干问题(优秀Key Lab研究项目)
0006136001	张恭庆	2006年教育部科学事业费“高等学校数学中心”专项经费
0006136001	张恭庆	非线性分析
0006136001	张恭庆	非线性分析在张量特征值与图论中的应用
0006136009	李  忠	Teichmuller空间复解析理论的若干问题（苏州大学负责）
0006136009	李  忠	拟共形映射中的若干问题
0006136009	李忠	拟共形映射的极值问题（北航负责）
0006136009	李忠	拟共形映射及Teichmuler空间几何学（清华大学负责）
0006136009	李忠	Teichmuller度量几何及其相关问题
0006136009	李忠	Teichmuller 空间与渐进Teichumuller空间若干问题
0006136010	应隆安	多尺度问题中的偏微分方程数值方法
0006136018	韩汝珊	半导体纳米器件……（数学学院张平文负责）
0006136051	顾镇南	“豆荚型”单壁碳纳米管杂化材料的物理化学研究
0006136051	顾镇南	碳纳米材料新结构新性能与器件研究(中科院化学所
0006136051	顾镇南	内嵌金属富勒烯M@C60、M@C80的超导性质研究
0006136051	顾镇南	笼状碳材料-富勒烯和富勒烯金属包含物研究开发
0006136067	王仁乾	海底底质声传播模型和底质参数反演技术研究
0006136067	王仁乾	新型全向消声瓦测试分析
0006136067	王仁乾	新型全向消声瓦设计研究
0006136067	王仁乾	海底底质声传播模型和底质参数反演技术研究
0006136067	王仁乾	水声吸声结构优化设计
0006136069	董太乾	装备技术基础项目
0006136069	董太乾	装备技术基础项目
0006136069	董太乾	星载铷原子频率标准物理部分
0006136069	董太乾	星载铷原子频率标准二阶段研制
0006136069	董太乾	装备技术基础项目
0006136069	董太乾	与504所合作项目
0006136069	董太乾	星载铷原子频标二阶段研制
0006136076	乔国俊	脉冲星的辐射过程
0006136076	乔国俊	FAST预研: 脉冲星辐射的观测和理论研究
0006136076	乔国俊	特殊脉冲星的研究
0006136078	陈家宜	气象资料补充收集与暖通和空调专业工程气象设计参数极端气象补充调查和极端气象设计基准研究
0006136078	陈家宜	秦山地区环境核事故后果评价系统风场模式补充升级
0006136078	陈家宜	福建莆田核电厂厂址所在区域极端气象资料收集、统计分析和设计基准评价
0006136078	陈家宜	大型核燃料后处理厂甘肃区厂址大气扩散试验研究
0006136078	陈家宜	海南昌江核电厂3、4号机组厂址所在区域极端气象资料补充收集、统计分析和设计基准评价
0006136078	陈家宜	田湾核电站3、4号机组工程项目厂址气象观测资料统计分析
0006136078	陈家宜	华能山东石岛湾核电厂高温气冷堆核电示范工程
0006136078	陈家宜	江西横峰和南昌模块式小型堆项目厂址区域气候和常规气象观测资料收集及统计分析
0006136078	陈家宜	海南核电有限公司昌江厂址气象铁塔与地面观测项目技术服务合同
0006136078	陈家宜	福建三明核电厂厂址气象塔和地面气象观测和资料统计分析
0006136078	陈家宜	湖北钟祥核电厂厂址气象塔和地面气象观测和资料统计分析
0006136078	陈家宜	浙江龙游核电厂厂址地面气象观测站站房和观测场建设
0006136078	陈家宜	湖南桃花江核电厂可行性研究阶段气象补充调查
0006136078	陈家宜	浙江龙游核电厂厂址大气边界层探测试验与分析及气象资料收集
0006136078	陈家宜	福建莆田三明核电厂厂址SF6野外示踪物试
0006136078	陈家宜	海南昌江核电厂厂址气象塔和地面气象观测和资料统计分析
0006136078	陈家宜	方家山核电工程厂址气象观测资料统计分析与厂址区域极端气象补充调查、统计分析
0006136078	陈家宜	田湾核电站扩建项目厂址区域常规气象资料收集及统计分析合同
0006136078	陈家宜	华能吉林核电项目气象专题报告
0006136078	陈家宜	秦山核电厂扩建项目（方家山核电工程）极端气象调查、统计分析和设计基准评价
0006136078	陈家宜	秦山地区核事故环境后果评价系统升级
0006136078	陈家宜	大型核燃料后处理厂大气扩散试验研究合作协议合同
0006136078	陈家宜	产品购销合同
0006136078	陈家宜	江西烟家山核电厂气象资料调查与分析计算专
0006136078	陈家宜	《福建漳州px/pta项目》环评大气影响预测专题
0006136078	陈家宜	重庆核电项目气象资料收集与分析
0006136078	陈家宜	田湾核电厂扩建工程极端气象与工程设计基准
0006136078	陈家宜	福建三明核电厂厂址气象专题
0006136078	陈家宜	浙江龙游核电厂厂址地面气象观测
0006136078	陈家宜	102米气象塔与10米气象风杆
0006136078	陈家宜	河北海兴核电厂厂址SF6野外示踪物试验
0006136078	陈家宜	福建莆田、三明核电厂正常运行年均扩散因子
0006136078	陈家宜	吉林核电项目气象资料手机与分析
0006136078	陈家宜	遥感地面过程参数在中尺度大气模拟中的应用
0006136078	陈家宜	非均匀大气边界层被动属性的湍流特征及其通量测量
0006136078	陈家宜	辽宁红沿河核电厂厂址区域气候和常规气象观测资料分析
0006136078	陈家宜	中核甘肃核电项目冷却塔气象参数分析计算
0006136078	陈家宜	海南昌江核电厂厂址气象铁塔与地面气象观测
0006136078	陈家宜	模块式小型压水堆厂址适应性研究   用于事故后果评价的大气扩散模型研发
0006136078	陈家宜	湖南桃花江核电项目追加气象参数计算
0006136078	陈家宜	漳州核电厂厂址气象观测资料统计分析与计算（2009.01~2013.12）
0006136078	陈家宜	福建福清核电厂5,6号机组厂址区域常规气象和极端气象调查资料统计分析
0006136078	陈家宜	福建三明核电厂厂址气象观测
0006136078	陈家宜	田湾核电站3、4号机组厂址气象观测资料补充统计分析
0006136078	陈家宜	福建漳州核电厂一期工程厂址工程气象参数分析
0006136078	陈家宜	浙江龙游核电厂厂址气象铁塔与地面气象观测
0006136078	陈家宜	河北海兴核电厂厂址大气边界层探测试验与地面风测站安装维护
0006136078	陈家宜	模块式小型压水堆厂址适应性研究
0006136078	陈家宜	福建三明核电厂厂址气象观测与气象站维护项目（2012年度）
0006136078	陈家宜	模块式小型压水堆厂址适应性研究课题
0006136078	陈家宜	湖南衡阳模块式小型堆项目——厂址区域气候和常规气象观测资料收集及统计分析
0006136078	陈家宜	江西横峰模块式小型堆项目——厂址区域气候和常规气象观测资料收集及统计分析
0006136078	陈家宜	江西南昌模块式小型堆项目——厂址区域气候与常规气象观测资料收集及统计分析
0006136078	陈家宜	中核重庆核电项目初步可行性研究阶段厂址区域气候和常规气象观测资料收集及统计分析
0006136078	陈家宜	中核吉林核电项目气象专题报告
0006136078	陈家宜	湖南小墨山核电站厂址常规气象观测及分析
0006136078	陈家宜	辽宁红沿河核电厂常规气象、极端气象及工程气象再分析
0006136078	陈家宜	福建漳州核电厂厂址大气扩散试验研究
0006136078	陈家宜	福建莆田核电厂厂址大气扩散试验研究
